Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
recF	b3700	9.79E-05	1.57E-04	2.32E-04	4.93E-04	5.98E-04	6.27E-04	1.10E-03	NO						
dnaN	b3701	2.13E-04	2.82E-04	4.50E-04	9.54E-04	9.98E-04	1.13E-03	1.74E-03	NO						
dnaA	b3702	1.80E-04	3.85E-04	6.47E-04	1.49E-03	1.62E-03	1.72E-03	2.42E-03	NO						
yieG	b3714	1.76E-04	3.26E-04	4.53E-04	4.78E-04	4.27E-04	3.56E-04	3.76E-04	NO						
yieK	b3718	8.70E-06	8.30E-06	6.94E-06	1.16E-05	1.15E-05	1.19E-05	9.16E-06	NO						
yieL	b3719	1.55E-07	4.38E-06	2.89E-06	6.53E-06	3.21E-06	7.35E-06	2.50E-06	NO						
bglH	b3720	2.49E-06	4.15E-06	5.79E-06	6.73E-06	7.17E-06	1.44E-05	9.17E-06	NO						
bglB	b3721	0.00E+00	1.98E-06	4.52E-06	6.80E-06	9.22E-06	6.74E-06	1.08E-05	NO						
bglF	b3722	0.00E+00	1.78E-06	4.40E-06	2.96E-06	4.61E-06	8.01E-06	1.04E-05	NO						
bglG	b3723	0.00E+00	2.57E-06	4.28E-06	5.23E-06	5.37E-06	2.67E-06	2.50E-06	NO						
phoU	b3724	1.84E-04	1.52E-04	1.75E-04	1.09E-04	6.81E-05	7.11E-05	5.16E-05	NO						
pstB	b3725	1.66E-04	1.42E-04	1.61E-04	8.64E-05	5.42E-05	5.79E-05	3.90E-05	NO						
pstA	b3726	8.25E-05	1.03E-04	1.33E-04	1.06E-04	6.88E-05	6.93E-05	4.33E-05	NO						
pstC	b3727	1.13E-04	9.18E-05	1.11E-04	7.69E-05	6.04E-05	6.93E-05	4.58E-05	NO						
pstS	b3728	2.78E-04	1.75E-04	1.98E-04	1.60E-04	1.40E-04	1.55E-04	1.14E-04	NO						
glmS	b3729	1.10E-03	1.28E-03	1.15E-03	5.08E-04	3.38E-04	2.25E-04	1.26E-04	NO						
glmU	b3730	7.79E-04	7.95E-04	7.15E-04	2.71E-04	1.95E-04	1.30E-04	9.38E-05	NO						
atpC	b3731	1.18E-03	1.17E-03	1.10E-03	6.50E-04	4.86E-04	3.34E-04	5.11E-04	NO						
atpD	b3732	3.83E-03	3.85E-03	3.88E-03	2.02E-03	1.52E-03	1.10E-03	1.77E-03	NO						
atpG	b3733	2.21E-03	2.15E-03	1.93E-03	1.10E-03	8.65E-04	6.47E-04	1.06E-03	NO						
atpA	b3734	4.71E-03	5.04E-03	4.43E-03	2.30E-03	1.76E-03	1.37E-03	2.29E-03	NO						
atpH	b3735	1.53E-03	1.67E-03	1.55E-03	8.42E-04	5.84E-04	4.96E-04	9.74E-04	NO						
atpF	b3736	1.91E-03	1.84E-03	1.63E-03	9.90E-04	7.39E-04	5.64E-04	1.05E-03	NO						
atpE	b3737	9.72E-04	8.42E-04	8.11E-04	5.38E-04	3.71E-04	3.28E-04	6.36E-04	NO						
atpB	b3738	1.44E-03	1.52E-03	1.44E-03	1.17E-03	1.14E-03	9.64E-04	1.53E-03	NO						
atpI	b3739	2.00E-04	3.16E-04	4.19E-04	5.50E-04	4.90E-04	4.47E-04	4.57E-04	NO						
gidB	b3740	5.06E-05	1.37E-04	1.73E-04	2.38E-04	2.73E-04	1.77E-04	1.01E-04	NO						
mnmG	b3741	3.69E-04	6.11E-04	8.07E-04	1.50E-03	1.81E-03	1.39E-03	1.10E-03	NO						
mioC	b3742	1.65E-04	2.14E-04	2.72E-04	5.39E-04	5.73E-04	4.97E-04	4.01E-04	NO						
asnC	b3743	4.55E-06	1.13E-05	2.64E-05	7.03E-05	6.86E-05	2.97E-05	2.75E-05	NO						
viaA	b3745	2.66E-05	2.29E-05	4.45E-05	4.32E-05	4.43E-05	2.85E-05	2.08E-05	NO						
ravA	b3746	5.15E-05	3.67E-05	3.04E-05	3.58E-05	3.10E-05	2.90E-05	2.00E-05	NO						
hsrA	b3754	2.36E-05	1.97E-05	2.76E-05	5.81E-05	6.84E-05	9.53E-05	8.54E-05	NO						
yieP	b3755	9.61E-05	7.56E-05	8.41E-05	1.36E-04	1.69E-04	1.94E-04	1.99E-04	NO						
hdfR	b4480	6.73E-05	3.47E-05	1.89E-05	2.46E-05	2.76E-05	3.31E-05	4.08E-05	NO						
yifB	b3765	6.22E-07	4.15E-06	4.86E-06	1.61E-05	2.18E-05	2.32E-05	2.00E-05	NO						
ilvY	b3773	3.29E-05	2.98E-05	7.04E-05	1.20E-04	1.25E-04	1.10E-04	9.96E-05	NO						
ppiC	b3775	5.28E-05	6.98E-05	5.98E-05	5.76E-05	4.95E-05	4.81E-05	5.34E-05	NO						
yifN	b3777	6.19E-07	2.56E-06	3.42E-06	6.13E-06	7.65E-06	4.29E-06	1.66E-06	NO						
yifN	b3777	5.57E-06	3.74E-06	3.09E-06	4.51E-06	9.95E-06	5.43E-06	5.81E-06	NO						
gpp	b3779	1.64E-04	2.45E-04	3.72E-04	7.29E-04	7.94E-04	6.90E-04	5.23E-04	NO						
rhlB	b3780	4.80E-04	4.57E-04	5.36E-04	9.16E-04	1.09E-03	8.63E-04	6.68E-04	NO						
aslA	b3801	3.11E-06	5.34E-06	1.25E-05	1.63E-05	2.07E-05	1.93E-05	1.75E-05	NO						
hemY	b3802	1.24E-04	1.56E-04	2.43E-04	3.18E-04	3.49E-04	4.17E-04	3.51E-04	NO						
hemX	b3803	1.14E-04	1.68E-04	1.70E-04	2.95E-04	3.32E-04	3.64E-04	2.81E-04	NO						
hemD	b3804	8.54E-05	7.98E-05	1.18E-04	2.02E-04	2.31E-04	2.21E-04	1.61E-04	NO						
hemC	b3805	1.79E-04	1.41E-04	2.10E-04	3.72E-04	3.79E-04	3.59E-04	2.40E-04	NO						
cyaY	b3807	6.25E-05	4.73E-05	3.84E-05	2.46E-05	7.66E-06	1.28E-05	1.83E-05	NO						
yigE	b4482	0.00E+00	4.35E-06	2.78E-06	5.75E-06	2.05E-06	5.13E-06	2.08E-06	NO						
yigF	b3817	0.00E+00	5.72E-06	7.63E-06	5.09E-06	8.18E-06	9.86E-06	8.32E-06	NO						
yigG	b3818	0.00E+00	2.57E-06	4.62E-06	5.50E-06	3.58E-06	5.83E-06	5.82E-06	NO						
rarD	b3819	3.74E-05	5.70E-05	7.49E-05	9.86E-05	9.96E-05	8.53E-05	7.50E-05	NO						
yigI	b3820	4.35E-05	2.89E-05	3.22E-05	5.22E-05	5.24E-05	5.54E-05	6.07E-05	NO						
rhtB	b3824	2.45E-05	8.75E-06	1.55E-05	1.86E-05	1.18E-05	1.76E-05	3.30E-05	NO						
metR	b3828	9.13E-04	7.54E-04	5.84E-04	1.49E-04	1.39E-04	1.65E-04	7.40E-05	NO						
ysgA	b3830	6.68E-06	7.91E-06	3.93E-06	5.10E-06	1.25E-05	7.80E-06	2.58E-05	NO						
rfaH	b3842	3.21E-05	3.81E-05	4.12E-05	5.68E-05	6.35E-05	4.59E-05	4.58E-05	NO						
fadA	b3845	1.13E-05	4.63E-06	6.87E-06	7.14E-06	8.71E-06	1.60E-05	2.42E-05	NO						
fadB	b3846	6.22E-06	6.53E-06	9.96E-06	2.22E-05	1.87E-05	2.57E-05	3.42E-05	NO						
mobB	b3856	3.26E-06	1.52E-05	1.72E-05	1.26E-05	1.20E-05	1.10E-05	8.60E-06	NO						
mobA	b3857	6.83E-06	1.31E-05	1.43E-05	8.36E-06	5.37E-06	9.43E-06	1.17E-05	NO						
yihG	b3862	1.40E-06	3.39E-05	2.64E-05	3.21E-05	3.23E-05	4.01E-05	3.92E-05	NO						
yihA	b3865	1.30E-04	1.87E-04	2.32E-04	2.44E-04	2.31E-04	1.82E-04	2.28E-04	NO						
glnG	b3868	3.73E-05	4.21E-05	6.92E-05	6.58E-05	7.79E-05	5.81E-05	5.83E-05	NO						
glnL	b3869	1.57E-05	4.65E-05	4.53E-05	5.46E-05	6.28E-05	4.38E-05	3.34E-05	NO						
glnA	b3870	1.32E-04	9.32E-05	8.06E-05	6.12E-05	5.48E-05	5.70E-05	3.20E-05	NO						
ompL	b3875	0.00E+00	5.93E-07	1.16E-06	1.43E-06	1.54E-06	2.26E-06	0.00E+00	NO						
yihO	b3876	1.71E-06	3.36E-06	6.25E-06	8.26E-06	7.68E-06	8.62E-06	1.17E-05	NO						
yihP	b3877	0.00E+00	7.91E-07	3.01E-06	6.32E-06	7.43E-06	3.28E-06	2.50E-06	NO						
yihQ	b3878	4.51E-06	2.97E-06	5.17E-05	4.90E-05	1.54E-06	1.15E-05	2.08E-05	NO						
yihR	b3879	0.00E+00	1.19E-06	1.16E-06	2.04E-06	7.68E-07	2.05E-06	2.50E-06	NO						
yihS	b3880	0.00E+00	4.15E-06	4.17E-06	5.91E-06	3.97E-06	5.95E-06	4.17E-06	NO						
yihT	b3881	0.00E+00	2.17E-06	2.78E-06	2.65E-06	4.35E-06	3.49E-06	6.66E-06	NO						
yihU	b3882	0.00E+00	1.19E-06	1.50E-06	2.04E-06	1.28E-06	3.08E-06	7.50E-06	NO						
fdhE	b3891	1.87E-04	1.08E-04	1.35E-04	3.34E-04	4.73E-04	4.80E-04	4.12E-04	NO						
frvR	b3897	7.77E-07	3.16E-06	7.18E-06	1.34E-05	2.13E-05	1.53E-05	1.58E-05	NO						
frvX	b3898	8.08E-06	7.49E-06	6.88E-06	1.08E-05	1.31E-05	1.61E-05	1.83E-05	NO						
frvB	b3899	1.55E-07	4.55E-06	3.85E-06	1.17E-05	1.77E-05	1.70E-05	1.21E-05	NO						
frvA	b3900	3.10E-07	0.00E+00	9.25E-07	3.05E-06	1.79E-06	4.30E-06	3.33E-06	NO						
rhaM	b3901	0.00E+00	0.00E+00	9.24E-07	2.03E-06	4.09E-06	1.64E-06	8.31E-07	NO						
rhaD	b3902	0.00E+00	1.98E-07	0.00E+00	2.65E-06	2.56E-06	4.68E-06	3.33E-06	NO						
rhaA	b3903	4.66E-06	1.19E-06	2.32E-06	2.88E-06	3.58E-06	5.13E-06	1.67E-06	NO						
rhaB	b3904	0.00E+00	1.98E-06	3.94E-06	7.74E-06	9.22E-06	8.01E-06	4.17E-06	NO						
rhaT	b3907	3.42E-06	4.15E-06	8.51E-06	2.05E-05	2.07E-05	1.71E-05	1.00E-05	NO						
cpxA	b3911	1.13E-04	1.73E-04	2.64E-04	4.65E-04	4.87E-04	4.74E-04	4.65E-04	NO						
cpxR	b3912	1.67E-04	1.62E-04	2.04E-04	3.31E-04	3.46E-04	3.17E-04	3.32E-04	NO						
tpiA	b3919	3.47E-04	2.93E-04	2.37E-04	2.03E-04	1.57E-04	2.11E-04	3.29E-04	NO						
yiiQ	b3920	1.49E-05	9.68E-06	6.94E-06	4.48E-06	7.93E-06	4.41E-06	5.00E-06	NO						
fpr	b3924	5.24E-05	3.86E-05	4.43E-05	3.52E-05	5.68E-05	3.86E-05	2.87E-05	NO						
glpX	b3925	4.62E-05	3.34E-05	4.25E-05	8.64E-05	1.09E-04	6.06E-05	5.33E-05	NO						
glpK	b3926	3.58E-05	2.02E-05	4.11E-05	1.94E-04	2.15E-04	1.29E-04	7.83E-05	NO						
glpF	b3927	4.66E-07	1.12E-05	2.70E-05	1.24E-04	1.11E-04	6.84E-05	3.13E-05	NO						
rraA	b3929	1.89E-04	1.68E-04	2.00E-04	2.19E-04	1.77E-04	1.90E-04	1.95E-04	NO						
menA	b3930	7.71E-05	9.27E-05	8.40E-05	4.61E-05	4.53E-05	2.69E-05	2.78E-05	NO						
hslU	b3931	8.69E-04	6.71E-04	5.90E-04	2.67E-04	1.99E-04	1.56E-04	1.94E-04	NO						
hslV	b3932	2.87E-04	2.47E-04	2.04E-04	1.12E-04	6.42E-05	6.31E-05	8.49E-05	NO						
ftsN	b3933	1.12E-04	1.58E-04	1.66E-04	1.92E-04	2.00E-04	1.41E-04	1.28E-04	NO						
cytR	b3934	9.32E-05	8.07E-05	7.82E-05	6.48E-05	7.32E-05	6.78E-05	9.67E-05	NO						
priA	b3935	7.03E-05	9.31E-05	1.75E-04	1.75E-04	2.07E-04	1.85E-04	2.50E-04	NO						
yiiX	b3937	3.59E-05	1.70E-04	1.38E-04	7.29E-05	4.07E-05	3.02E-05	1.69E-05	NO						
metJ	b3938	2.80E-04	2.72E-04	2.18E-04	1.07E-04	7.02E-05	4.20E-05	2.83E-05	NO						
yijF	b3944	0.00E+00	2.17E-06	2.08E-06	1.39E-06	2.05E-06	1.64E-06	3.33E-06	NO						
gldA	b3945	2.95E-06	1.40E-05	1.11E-05	1.26E-05	1.05E-05	1.05E-05	1.42E-05	NO						
fsaB	b3946	4.66E-06	1.19E-06	1.39E-06	3.16E-06	4.35E-06	3.28E-06	0.00E+00	NO						
ptsA	b3947	7.31E-06	4.35E-06	3.71E-06	5.61E-06	7.94E-06	6.02E-06	7.50E-06	NO						
yijO	b3954	3.11E-05	7.31E-06	1.16E-05	1.70E-05	1.31E-05	1.95E-05	1.67E-05	NO						
yijP	b3955	1.53E-04	1.95E-04	1.64E-04	1.29E-04	1.53E-04	1.46E-04	1.03E-04	NO						
ppc	b3956	6.07E-04	3.72E-04	3.96E-04	7.52E-04	1.07E-03	1.04E-03	6.38E-04	NO						
argE	b3957	3.68E-05	3.42E-05	3.80E-05	6.90E-05	8.24E-05	1.07E-04	8.33E-05	NO						
sthA	b3962	1.59E-04	2.22E-04	2.51E-04	4.90E-04	6.49E-04	5.76E-04	5.39E-04	NO						
trmA	b3965	1.57E-04	1.58E-04	1.99E-04	1.75E-04	1.79E-04	1.52E-04	1.56E-04	NO						
coaA	b3974	8.07E-05	8.55E-05	8.60E-05	7.13E-05	7.49E-05	5.84E-05	5.58E-05	NO						
thiH	b3990	0.00E+00	5.54E-06	7.07E-06	1.23E-05	9.47E-06	1.81E-05	1.17E-05	NO						
thiG	b3991	2.64E-06	2.77E-06	4.86E-06	8.56E-06	9.72E-06	9.85E-06	8.33E-06	NO						
thiS	b4407	0.00E+00	1.18E-06	9.22E-07	3.09E-06	5.10E-06	3.78E-06	6.63E-06	NO						
thiF	b3992	5.28E-06	1.27E-06	5.36E-06	1.82E-05	1.89E-05	1.75E-05	1.17E-05	NO						
thiE	b3993	3.11E-06	3.95E-06	4.63E-06	1.61E-05	1.36E-05	1.11E-05	1.02E-05	NO						
thiC	b3994	5.91E-06	2.33E-05	3.96E-05	9.83E-05	8.14E-05	7.60E-05	6.41E-05	NO						
rsd	b3995	4.87E-05	3.92E-05	6.54E-05	2.19E-04	2.18E-04	2.82E-04	1.55E-04	NO						
zraP	b4002	1.09E-06	3.95E-07	1.62E-06	1.83E-06	7.67E-07	8.61E-07	8.32E-07	NO						
purD	b4005	6.03E-05	7.33E-05	9.84E-05	6.47E-05	5.25E-05	3.67E-05	3.88E-05	NO						
purH	b4006	5.12E-05	8.44E-05	1.05E-04	9.26E-05	6.27E-05	4.48E-05	5.08E-05	NO						
yjaB	b4012	1.10E-05	6.21E-06	5.66E-06	9.43E-06	7.92E-06	4.71E-06	9.67E-06	NO						
arpA	b4017	6.69E-06	1.50E-05	3.23E-05	8.40E-05	1.34E-04	1.39E-04	2.25E-05	NO						
iclR	b4018	1.17E-04	2.69E-04	5.15E-04	1.19E-03	1.38E-03	1.32E-03	5.34E-04	NO						
pepE	b4021	4.35E-06	3.95E-06	3.47E-06	9.99E-06	4.61E-06	7.45E-06	1.33E-05	NO						
lysC	b4024	2.74E-04	1.97E-04	2.21E-04	2.81E-04	3.46E-04	6.00E-04	3.35E-04	NO						
yjbT	b4620	0.00E+00	1.97E-07	0.00E+00	1.42E-06	2.55E-07	1.91E-06	0.00E+00	NO						
xylE	b4031	2.95E-06	6.80E-06	6.72E-06	1.06E-05	4.87E-06	1.01E-05	9.17E-06	NO						
malG	b4032	9.94E-06	1.58E-06	4.17E-06	3.85E-06	7.17E-06	6.77E-06	6.66E-06	NO						
malF	b4033	1.46E-05	5.73E-06	8.68E-06	1.14E-05	1.41E-05	1.35E-05	1.25E-05	NO						
malE	b4034	1.93E-05	1.68E-05	1.44E-05	1.10E-05	9.22E-06	7.49E-06	4.44E-06	NO						
plsB	b4041	3.31E-04	4.12E-04	4.53E-04	4.42E-04	4.16E-04	4.25E-04	3.81E-04	NO						
zur	b4046	3.09E-05	4.92E-05	1.09E-04	2.19E-04	2.28E-04	1.59E-04	1.23E-04	NO						
qor	b4051	2.49E-05	2.26E-05	2.64E-05	4.57E-05	5.30E-05	5.87E-05	7.42E-05	NO						
yjbS	b4621	0.00E+00	0.00E+00	0.00E+00	2.03E-07	7.64E-07	4.08E-07	1.66E-06	NO						
uvrA	b4058	1.50E-04	2.25E-04	3.74E-04	9.75E-04	1.34E-03	1.54E-03	1.37E-03	NO						
yjcB	b4060	5.11E-06	1.88E-05	4.97E-05	1.85E-04	1.88E-04	2.73E-04	2.72E-04	NO						
soxS	b4062	3.72E-06	7.89E-06	1.39E-05	1.89E-05	8.94E-06	1.08E-05	9.14E-06	NO						
yjcF	b4066	6.68E-06	2.77E-06	6.95E-07	2.24E-06	6.66E-06	4.15E-06	1.67E-06	NO						
actP	b4067	8.55E-06	6.33E-06	1.13E-05	1.35E-05	1.49E-05	1.71E-05	1.53E-05	NO						
yjcH	b4068	9.30E-07	0.00E+00	1.58E-06	1.93E-06	5.11E-07	3.34E-06	1.66E-06	NO						
acs	b4069	9.17E-06	1.13E-05	8.04E-05	1.01E-04	2.95E-05	3.57E-05	8.00E-05	NO						
yjcO	b4078	2.64E-05	2.15E-05	1.56E-05	1.50E-05	2.43E-05	1.72E-05	2.02E-05	NO						
fdhF	b4079	2.85E-05	2.89E-05	2.73E-05	3.32E-05	3.23E-05	3.88E-05	3.58E-05	NO						
mdtP	b4080	8.08E-06	2.18E-06	1.85E-06	8.16E-06	7.43E-06	9.96E-06	1.00E-05	NO						
mdtO	b4081	0.00E+00	9.89E-07	4.71E-06	8.16E-06	2.56E-06	1.01E-05	1.67E-06	NO						
mdtN	b4082	0.00E+00	1.19E-06	5.79E-07	2.35E-06	5.38E-06	9.23E-07	8.33E-07	NO						
ytcA	b4622	0.00E+00	0.00E+00	4.62E-07	0.00E+00	0.00E+00	2.05E-07	8.31E-07	NO						
yjcS	b4083	0.00E+00	2.97E-06	1.51E-06	3.06E-06	1.02E-06	3.29E-06	4.17E-06	NO						
alsK	b4084	5.28E-06	5.14E-06	3.70E-06	3.49E-06	4.35E-06	3.90E-06	3.33E-06	NO						
alsE	b4085	0.00E+00	1.78E-06	4.86E-06	5.30E-06	6.40E-06	2.56E-06	5.00E-06	NO						
alsC	b4086	4.20E-06	9.88E-07	2.78E-06	2.85E-06	5.89E-06	2.15E-06	3.33E-06	NO						
alsA	b4087	0.00E+00	1.78E-06	2.32E-06	3.88E-06	7.68E-07	4.93E-06	5.00E-06	NO						
alsB	b4088	4.82E-06	8.89E-06	3.32E-06	6.12E-06	4.35E-06	8.62E-06	6.67E-06	NO						
rpiR	b4089	5.81E-05	3.38E-05	3.66E-05	7.10E-05	8.88E-05	9.88E-05	9.64E-05	NO						
phnP	b4092	2.02E-05	6.38E-06	9.49E-06	1.10E-05	5.63E-06	1.03E-05	1.52E-05	NO						
phnO	b4093	2.17E-06	7.70E-06	4.85E-06	6.72E-06	7.41E-06	5.96E-06	6.66E-06	NO						
phnN	b4094	0.00E+00	1.78E-06	1.16E-06	3.36E-06	3.58E-06	3.92E-06	2.91E-06	NO						
phnM	b4095	2.18E-06	9.89E-07	4.63E-07	2.65E-06	5.63E-06	2.46E-06	5.00E-06	NO						
phnL	b4096	0.00E+00	0.00E+00	2.31E-07	1.02E-06	0.00E+00	3.08E-07	8.33E-07	NO						
phnK	b4097	0.00E+00	0.00E+00	5.79E-07	1.02E-06	0.00E+00	1.33E-06	0.00E+00	NO						
phnJ	b4098	0.00E+00	0.00E+00	2.31E-07	2.04E-07	7.68E-07	4.10E-07	0.00E+00	NO						
phnI	b4099	0.00E+00	0.00E+00	1.16E-06	1.84E-06	2.56E-06	1.23E-06	2.36E-06	NO						
phnH	b4100	0.00E+00	0.00E+00	4.63E-07	8.15E-07	0.00E+00	6.15E-07	2.50E-06	NO						
phnG	b4101	0.00E+00	0.00E+00	4.62E-07	3.05E-07	0.00E+00	6.15E-07	0.00E+00	NO						
phnF	b4102	0.00E+00	7.90E-07	0.00E+00	6.12E-07	7.68E-07	1.23E-06	8.33E-07	NO						
phnE	b4104	0.00E+00	0.00E+00	1.39E-06	2.04E-07	5.11E-07	4.10E-07	0.00E+00	NO						
phnE	b4104	0.00E+00	0.00E+00	0.00E+00	2.04E-07	0.00E+00	6.14E-07	0.00E+00	NO						
phnD	b4105	0.00E+00	1.58E-06	1.85E-06	2.45E-06	1.02E-06	2.67E-06	5.00E-06	NO						
phnC	b4106	0.00E+00	4.94E-07	2.31E-07	1.02E-06	0.00E+00	1.64E-06	0.00E+00	NO						
yjdN	b4107	0.00E+00	5.92E-07	1.62E-06	1.02E-06	2.30E-06	3.07E-06	1.66E-06	NO						
yjdM	b4108	1.32E-06	1.27E-05	1.23E-05	1.76E-05	1.53E-05	1.44E-05	2.00E-05	NO						
basS	b4112	1.41E-05	2.04E-05	2.14E-05	3.49E-05	3.10E-05	4.07E-05	3.68E-05	NO						
basR	b4113	1.16E-05	1.42E-05	2.05E-05	2.42E-05	2.41E-05	3.00E-05	2.87E-05	NO						
eptA	b4114	3.11E-07	4.75E-06	2.78E-06	7.04E-06	4.35E-06	6.57E-06	5.83E-06	NO						
adiC	b4115	0.00E+00	1.58E-06	3.58E-06	6.15E-06	4.35E-06	5.00E-06	8.61E-06	NO						
adiY	b4116	0.00E+00	1.38E-06	1.85E-06	2.24E-06	0.00E+00	4.10E-07	8.33E-07	NO						
adiA	b4117	6.53E-06	7.32E-06	9.38E-06	1.04E-05	7.94E-06	1.01E-05	5.84E-06	NO						
melR	b4118	9.48E-06	5.93E-06	2.78E-06	2.04E-06	7.68E-07	2.46E-06	1.67E-06	NO						
yjdF	b4121	9.32E-07	5.73E-06	7.17E-06	7.54E-06	9.72E-06	7.02E-06	1.42E-05	NO						
fumB	b4122	9.48E-06	1.75E-05	1.31E-05	9.28E-06	1.43E-05	1.10E-05	9.17E-06	NO						
dcuB	b4123	4.66E-06	5.34E-06	8.57E-06	9.18E-06	1.10E-05	1.01E-05	9.17E-06	NO						
dcuR	b4124	3.93E-05	4.27E-05	3.77E-05	3.04E-05	4.94E-05	3.51E-05	2.28E-05	NO						
dcuS	b4125	5.86E-05	1.12E-04	1.00E-04	1.08E-04	1.27E-04	1.02E-04	7.81E-05	NO						
lysU	b4129	1.08E-04	1.12E-04	8.54E-05	7.35E-05	6.54E-05	7.79E-05	7.08E-05	NO						
yjdL	b4130	4.97E-06	1.01E-05	1.25E-05	1.71E-05	2.05E-05	2.03E-05	1.67E-05	NO						
cadA	b4131	4.98E-06	5.74E-06	5.56E-06	9.39E-06	1.32E-05	1.55E-05	1.63E-05	NO						
cadB	b4132	2.02E-06	7.91E-07	3.47E-06	8.26E-06	1.25E-05	7.59E-06	6.25E-06	NO						
cadC	b4133	1.09E-06	2.46E-05	3.47E-05	5.12E-05	6.15E-05	4.31E-05	4.75E-05	NO						
yjdQ	b4654	0.00E+00	5.95E-06	7.79E-06	8.20E-06	5.76E-06	2.86E-06	2.68E-06	NO						
yjdQ	b4654	0.00E+00	7.44E-06	3.44E-06	3.92E-06	4.78E-06	2.76E-06	8.19E-07	NO						
yjdC	b4135	3.60E-05	2.10E-05	3.60E-05	6.16E-05	1.11E-04	7.76E-05	1.35E-04	NO						
dipZ	b4136	9.19E-05	7.68E-05	9.32E-05	1.68E-04	2.03E-04	2.43E-04	2.62E-04	NO						
cutA	b4137	8.68E-06	2.50E-05	2.93E-05	4.66E-05	5.90E-05	5.25E-05	5.59E-05	NO						
dcuA	b4138	3.19E-04	2.32E-04	1.75E-04	1.17E-04	1.19E-04	1.08E-04	7.90E-05	NO						
aspA	b4139	1.61E-04	1.58E-04	1.11E-04	1.04E-04	1.10E-04	1.08E-04	1.00E-04	NO						
yjeH	b4141	2.07E-05	2.26E-05	5.33E-05	1.31E-04	1.43E-04	1.68E-04	9.60E-05	NO						
yjeJ	b4145	1.55E-07	1.32E-05	1.53E-05	2.21E-05	1.87E-05	1.88E-05	1.67E-05	NO						
yjeK	b4146	1.04E-04	1.17E-04	2.02E-04	3.65E-04	3.60E-04	3.19E-04	1.23E-04	NO						
blc	b4149	0.00E+00	5.33E-06	4.16E-06	4.04E-06	2.56E-07	2.87E-06	9.99E-06	NO						
ampC	b4150	3.03E-05	3.57E-05	3.47E-05	1.90E-05	2.38E-05	1.89E-05	1.00E-05	NO						
frdD	b4151	5.89E-06	1.28E-05	1.64E-05	1.23E-05	1.04E-05	1.06E-05	8.32E-06	NO						
frdC	b4152	1.94E-05	2.17E-05	1.69E-05	9.06E-06	4.86E-06	9.34E-06	1.16E-05	NO						
frdB	b4153	1.21E-05	4.13E-05	3.37E-05	1.79E-05	1.89E-05	1.80E-05	1.92E-05	NO						
frdA	b4154	9.28E-05	8.23E-05	7.58E-05	5.14E-05	4.79E-05	5.25E-05	5.67E-05	NO						
yjeP	b4159	1.14E-04	1.65E-04	2.81E-04	5.08E-04	5.52E-04	5.15E-04	4.48E-04	NO						
psd	b4160	1.11E-04	1.61E-04	1.72E-04	3.22E-04	4.24E-04	3.13E-04	2.89E-04	NO						
rsgA	b4161	1.91E-04	2.52E-04	3.26E-04	5.43E-04	5.57E-04	6.43E-04	6.16E-04	NO						
yjeS	b4166	4.04E-06	6.17E-05	1.00E-04	2.05E-04	2.15E-04	1.50E-04	6.24E-05	NO						
yjfN	b4188	0.00E+00	1.18E-06	3.00E-06	1.30E-05	1.40E-05	1.27E-05	6.65E-06	NO						
yjfO	b4189	4.50E-06	3.63E-06	8.78E-06	7.32E-06	8.68E-06	1.26E-05	1.08E-05	NO						
ulaR	b4191	4.21E-05	3.04E-05	2.06E-05	2.28E-05	1.31E-05	2.01E-05	1.75E-05	NO						
ulaG	b4192	1.54E-05	7.31E-06	7.18E-06	4.75E-06	7.68E-07	6.70E-06	3.33E-06	NO						
yjfY	b4199	0.00E+00	0.00E+00	9.23E-07	1.42E-06	4.08E-06	1.23E-06	8.31E-07	NO						
yjfZ	b4204	0.00E+00	9.68E-06	4.40E-06	6.61E-06	8.45E-06	4.72E-06	1.08E-05	NO						
ytfB	b4206	8.54E-05	5.78E-05	6.17E-05	8.63E-05	1.04E-04	7.37E-05	4.72E-05	NO						
ytfE	b4209	0.00E+00	3.75E-06	4.86E-06	4.48E-06	5.12E-06	6.97E-06	1.68E-05	NO						
ytfF	b4210	8.39E-06	1.93E-05	2.98E-05	9.04E-05	9.67E-05	9.18E-05	9.08E-05	NO						
ytfG	b4211	1.55E-07	6.72E-06	7.18E-06	6.93E-06	5.12E-06	7.49E-06	7.50E-06	NO						
cpdB	b4213	7.14E-05	5.58E-05	4.40E-05	3.52E-05	3.43E-05	3.76E-05	3.92E-05	NO						
ytfJ	b4216	6.99E-06	8.98E-06	2.54E-05	3.50E-05	3.71E-05	3.30E-05	3.76E-05	NO						
ytfL	b4218	3.06E-05	6.39E-05	1.08E-04	1.56E-04	1.75E-04	1.43E-04	1.09E-04	NO						
msrA	b4219	3.08E-05	1.56E-05	1.34E-05	1.63E-05	1.36E-05	2.37E-05	3.47E-05	NO						
ppa	b4226	1.39E-03	1.17E-03	8.20E-04	4.82E-04	3.46E-04	3.43E-04	7.73E-04	NO						
fbp	b4232	3.00E-04	2.50E-04	2.19E-04	1.58E-04	1.53E-04	1.26E-04	9.17E-05	NO						
